"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Testowanie","","@Mock, @InjectMocks, Mockito: when().thenReturn(), verify(). Unit testy dla logiki biznesowej.","3","2.55"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Testowanie","","@WebMvcTest lub @SpringBootTest dla controllerów REST. MockMvc: perform(), andExpect(). @WithMockUser dla testów Security. Min. 5 scenariuszy biznesowych.","2","1.7"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Testowanie","","JaCoCo - coverage 70%+. Raport z pokryciem kodu. Testy obejmują Happy Path i Error Cases.","1","0.85"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Wymagania dodatkowe","","Zastosowanie logowania (poziomy INFO, ERROR, DEBUG) w kluczowych momentach procesów biznesowych (wejście do metody, wystąpienie błędu).","2","1.7"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Wymagania dodatkowe","","Przygotowanie pliku Dockerfile dla aplikacji oraz docker-compose.yml, który stawia aplikację oraz bazę danych. Umożliwienie uruchomienia całego środowiska jedną komendą docker-compose up.","4","3.4"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Wymagania dodatkowe","","Implementacja testu automatycznego (JUnit + ArchUnit), który pilnuje reguł architektonicznych z Grupy 1 i 2 (np. ""Klasy z pakietu Controller nie mogą zależeć od klas z pakietu Entity"" lub ""Klasy Service muszą być w pakiecie .service"").","4","3.4"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Wymagania dodatkowe","","Prosty test automatyczny uruchamiający przeglądarkę i sprawdzający, czy aplikacja (np. strona logowania lub Swagger) poprawnie się ładuje (tytuł strony, obecność elementu).","5","4.25"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Common","Wymagania dodatkowe","","","5","4.25"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Specific","Project-specific","","Ekran powitalny dostępny bez logowania (prezentacja polecanych/popularnych książek). Rejestracja nowego czytelnika i logowanie. Mechanizm trwałego usuwania konta (z anonimizacją recenzji lub ich kaskadowym usunięciem).","8","6.8"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Specific","Project-specific","","Edycja danych profilowych (Avatar, Bio). Funkcjonalność 'Backup': Eksport profilu (listy książek, recenzje) do pliku (JSON/CSV) oraz Import danych z pliku w celu odtworzenia biblioteczki.","9","7.65"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Specific","Project-specific","","Core Feature: Użytkownik posiada domyślne półki ('Przeczytane', 'Chcę przeczytać', 'Teraz czytam') oraz może tworzyć własne półki tematyczne (np. 'Fantastyka', 'Ulubione'). Możliwość dodawania i usuwania książek z półek oraz przenoszenia między nimi.","9","7.65"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Specific","Project-specific","","Możliwość wystawienia oceny (gwiazdki 1-10) oraz napisania recenzji tekstowej dla każdej książki. Recenzje są widoczne dla innych użytkowników na stronie szczegółów książki.","6","5.1"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Specific","Project-specific","","Mechanizm wyszukiwania książek po: Tytule, Autorze lub numerze ISBN. Wyniki wyszukiwania powinny pokazywać podstawowe informacje i średnią ocenę.","6","5.1"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Specific","Project-specific","","Pełny dostęp do zarządzania treścią: Dodawanie/Edycja/Usuwanie Książek i Autorów. Moderacja użytkowników (blokowanie kont) oraz moderacja recenzji (usuwanie treści obraźliwych).","7","5.95"
"j2ok5518-q17l-6mnn-m3n0-71qr56997nr2","project-12","draft","85","Specific","Project-specific","","Wyświetlanie zagregowanych danych: Dla książki (liczba czytelników, średnia ocena, rozkład ocen). Dla użytkownika (liczba przeczytanych książek w roku - 'Reading Challenge').","5","4.25"
